Date,Close,High,Low,Open,Volume
27-06-2024,1502.901367,1507.814951,1434.507557,1435.425809,22014882
28-06-2024,1519.305054,1526.203943,1494.935375,1502.628435,28383030
01-07-2024,1553.898926,1569.384287,1519.776481,1519.776481,28957336
02-07-2024,1548.6875,1567.796069,1544.245402,1551.045051,7724306
03-07-2024,1553.675537,1561.939324,1545.560551,1557.968712,7749246
04-07-2024,1541.019287,1563.428379,1531.440162,1554.817066,9049620
05-07-2024,1542.607544,1555.983518,1539.406262,1545.560662,6837176
08-07-2024,1576.953247,1586.755695,1536.626722,1542.408877,12269710
09-07-2024,1589.138062,1596.980044,1570.898064,1577.325468,9500806
10-07-2024,1578.591187,1588.741039,1568.88798,1585.862321,6960002
11-07-2024,1572.585571,1585.763063,1551.665459,1583.281431,7134578
12-07-2024,1569.036865,1592.46345,1558.961414,1575.836514,11940946
15-07-2024,1584.993774,1593.356924,1562.932087,1572.858616,12924784
16-07-2024,1585.490112,1594.051744,1573.85128,1592.662006,5329688
18-07-2024,1564.669189,1588.244697,1557.596537,1581.792453,9386838
19-07-2024,1575.0177,1582.189594,1546.379565,1564.421081,12298374
22-07-2024,1543.724243,1578.293333,1541.391533,1574.347562,13140390
23-07-2024,1489.649536,1526.203933,1488.259798,1525.95577,19674376
24-07-2024,1476.968262,1494.687092,1452.25118,1489.97199,18052044
25-07-2024,1484.710938,1498.409596,1465.552809,1474.0896,11913362
26-07-2024,1481.435303,1489.450927,1466.222823,1470.119035,12519876
29-07-2024,1497.93811,1501.313155,1479.400268,1481.435255,9859940
30-07-2024,1508.931641,1516.277296,1500.667854,1500.841495,7538550
31-07-2024,1502.032837,1513.79575,1498.905956,1505.879367,8228208
01-08-2024,1494.364502,1499.352486,1490.120887,1492.949923,10057346
02-08-2024,1504.167114,1506.847229,1493.247931,1500.891311,10764222
05-08-2024,1488.309326,1498.235856,1482.303849,1493.94268,10268248
06-08-2024,1436.691406,1472.997761,1422.719864,1469.12639,17046704
07-08-2024,1445.352295,1466.644651,1440.661913,1444.458883,10236186
08-08-2024,1454.062744,1461.681404,1450.762222,1458.207118,8174568
09-08-2024,1438.478149,1454.236514,1435.301709,1446.816458,12387192
12-08-2024,1463.468262,1465.65205,1445.302665,1449.273276,6249776
13-08-2024,1449.893677,1462.177757,1447.0398,1459.199798,8184584
14-08-2024,1452.871704,1459.274267,1447.288031,1450.017827,6265064
16-08-2024,1451.109619,1461.18507,1443.019474,1452.797202,6267466
19-08-2024,1467.3396,1469.523509,1447.337739,1457.859836,9416902
20-08-2024,1482.479126,1492.339768,1474.610528,1476.602572,13797742
21-08-2024,1489.999023,1497.942396,1484.097666,1491.268976,8411808
22-08-2024,1492.713257,1501.87661,1484.072718,1487.309789,7769996
23-08-2024,1492.165405,1500.507089,1484.720165,1497.021012,10445782
26-08-2024,1494.008057,1505.312882,1492.464296,1497.768064,9249654
27-08-2024,1506.582886,1516.941539,1497.021099,1500.980262,8816114
28-08-2024,1494.481201,1507.454412,1493.485179,1504.491271,6251156
29-08-2024,1492.339844,1501.478273,1487.060878,1499.013143,9610286
30-08-2024,1514.874756,1530.88576,1488.056816,1497.120591,38335358
02-09-2024,1503.619751,1533.59999,1497.344764,1527.897788,41620730
03-09-2024,1510.218384,1520.726465,1500.631672,1504.864765,11240852
04-09-2024,1503.121704,1516.941509,1501.503168,1515.198471,10923800
05-09-2024,1508.525146,1511.463363,1493.534967,1494.730145,11983304
06-09-2024,1487.035889,1519.705458,1481.134531,1513.007235,16264168
09-09-2024,1458.997803,1491.044858,1455.810581,1486.562759,19394228
10-09-2024,1456.632324,1464.077686,1449.809598,1460.666262,9010298
11-09-2024,1455.71106,1466.194215,1451.7767,1454.690113,10768260
12-09-2024,1445.725952,1462.907332,1441.791714,1457.230055,9760202
13-09-2024,1473.91333,1480.088618,1440.123237,1451.203981,22349376
16-09-2024,1466.766846,1477.250001,1463.654277,1470.526853,8711328
17-09-2024,1465.496948,1475.009007,1458.923227,1471.672358,5481774
18-09-2024,1466.443237,1471.597578,1460.790764,1468.136426,5935328
19-09-2024,1457.628296,1476.104552,1454.739929,1464.152288,8574714
20-09-2024,1463.828613,1470.626414,1449.759803,1460.417189,16955902
23-09-2024,1480.014038,1489.052889,1465.521869,1468.136427,30897320
24-09-2024,1487.434326,1495.527005,1483.02688,1485.068774,8832314
25-09-2024,1483.450195,1494.53094,1481.956162,1482.578676,17137444
26-09-2024,1488.006958,1490.546863,1474.311656,1477.99701,7069002
27-09-2024,1491.991089,1498.017071,1482.130568,1484.720201,18818998
30-09-2024,1520.103882,1527.374769,1486.064782,1493.036936,20597478
01-10-2024,1470.701172,1518.908662,1468.534897,1513.355888,27008814
03-10-2024,1458.997803,1482.03081,1457.005759,1474.759923,16431642
04-10-2024,1401.378052,1443.634334,1396.49752,1430.860279,37757294
07-10-2024,1381.009399,1411.711728,1376.278295,1398.340206,37072876
08-10-2024,1365.272217,1390.944708,1355.959436,1387.956642,22181340
09-10-2024,1391.79126,1395.426764,1359.669552,1367.513225,17020808
10-10-2024,1369.131836,1395.401917,1367.040214,1391.965689,14310610
11-10-2024,1365.595947,1380.486427,1363.977412,1374.53522,22358646
14-10-2024,1366.641724,1377.772318,1363.379727,1364.550102,7980122
15-10-2024,1367.065063,1374.584956,1362.807045,1373.962443,12221432
16-10-2024,1338.678467,1366.243302,1335.366621,1353.120786,33762794
17-10-2024,1348.688477,1358.574044,1332.303963,1334.669515,20034438
18-10-2024,1351.029175,1363.006242,1346.671579,1360.267181,15543660
21-10-2024,1353.8927,1362.981401,1335.989108,1346.796044,12082452
22-10-2024,1363.753296,1368.53425,1352.323968,1361.686599,14067408
23-10-2024,1338.006104,1370.526246,1334.893535,1363.753247,15831960
24-10-2024,1333.200317,1352.074885,1329.689316,1332.179371,17214742
25-10-2024,1334.470337,1338.354725,1317.861621,1329.963313,22155934
28-10-2024,1322.567749,1339.002112,1316.741045,1338.155517,18597496
29-10-2024,1329.04187,1347.617704,1316.840601,1331.681353,10824350
30-10-2024,1334.669434,1337.856655,1315.04785,1322.816748,12008361
31-10-2024,1338.553955,1344.629665,1320.077699,1329.689335,11984423
01-11-2024,1326.751099,1337.65749,1320.874545,1334.669425,9331650
04-11-2024,1333.324829,1336.611629,1327.697281,1327.74713,2127335
05-11-2024,1296.970093,1334.669502,1279.987869,1332.52803,19796890
06-11-2024,1300.107544,1304.340637,1281.033699,1287.856425,16267479
07-11-2024,1320.077759,1323.016097,1295.027781,1304.788845,21625209
08-11-2024,1300.456177,1318.733157,1297.418261,1318.733157,9611974
11-11-2024,1278.643188,1296.472006,1269.927996,1292.487918,19814406
12-11-2024,1267.637085,1280.884226,1261.959808,1273.862222,9056552
13-11-2024,1269.18103,1284.17121,1262.457882,1270.475908,10671091
14-11-2024,1247.069336,1270.376152,1244.529431,1265.196887,14633633
